id,text,Directed_Hate
1051163527598284808,anjanettespeak beheard yesallwomen metoo churchtoo via,1
1052105370091417601,metoo founder tarana burke reflects on the movement one year later,0
1048773251483103232,pity the metoo kavanaugh deplorablesrioters werent vocal when democrat hillary let an ambassador in benghazi and staff be tortured and murdered potus sebgorka sheriffclarke carlachamorros drmartyfox seanhannity tuckercarlson mirandadevine foxandfriends cnn wsj,0
1055034654149959680,amalaams releases a statement supporting leenamanimekali she also recounts her ordeals during the shoot of at the hands of directorsusi amalapaul leenamanimekalai susiganeshan metoo metooindia,1
1055037551650566145,subhasini mistry labourer receiving the padma shri award in chappals amp cotton saree she worked as maid vegetable seller and took decades build a hospital poor motivation came from her husband dying lack of treatmentamp all that media cries is metoo,1
1052221544334802944,citizensmandate briankempga we see you our faith and values compel many many of us to vote for staceyabrams have a blessed day maam wearegeorgia yallmeansall gapol veteransforabrams workingfamilies gateachers galabor gafilm bluewave teamabrams metoo,0
1054328832105345024,supreme court declines urgent hearing on metoo httpstcopezyfjljzd,1
1052030676512464896,stormy daniels just called and asked me to remind everyone to please please please donate to her fundraising page every dollar makes a difference metoo webelievesurvivors standwithstormy,0
1051297087722205184,had a bit of break went to the beautiful port macquarie and nearby areas absolutely stunning as usual beautiful metoo australia auspol,0
1052280881161728000,daysofmindy day that time i played a zombie in a fallout boy video that was told to dance on the guy who agreed to it but later said he hadn ’ t and pulled a metoo moment on tv so i got thousands of hate mail comments from his insane emo fans liar,0
1051988942726152192,alyssamilano voice of fakeness you mean metoo is fake,0
1051910566929784842,rahuldravid even the wall of india faced this situation bad very bad very sad to see this the reason why rahul dravid is the real man metoo,0
1055739078031757312,metoo after failed suicide attempt anirban blah relocates to bengaluru with family and undergoes therapy,1
1051875058505998336,abcpolitics gma in response to my traumatic child abuse assault president obama has sent this letter of recognition to express admiration and thanks to me and stating that the white house will continue to support sexual assault victims metoo obamafoundation obama nomeansno lgbtdems,0
1054597393394606080,recently our team conducted a two days training with the employees of an international organisation on gender and sexual harassment at workplace using maximum participation from the audience gendersensitizationforgenderequality tuesdaymotivation metoo metooindia,1
1049599895579979776,mate sent me this photo im sure most of my followers might get this guy falseallegations metoo police mentoo liar,0
1052286635298250752,dont fucking talk about hillaryclinton dont keep her apologizing for her husbands mistake billclinton had consensual sexual play with an intern it was adultery but consensual its not to be confused with metoo or with realdonaldtrumps nasty predatory sick life,1
1051979837383077889,mo state student allegedly raped hours after attending a metoo rally liberty man charged,0
1050359672648228865,peterdaou eericski that would be on his list there is a lot on that list executing journalists and repealing the first amendment would also be on that list its a long dictatorial list hes not really in charge of hislist voteblue impeachtrumpnow trumprussia trumpcolluded metoo,1
1052250553105805312,taranaburke sunnydaejones thank you so much goddess tarana for your courage passion and fight for metoo that includes me molested by uncle raped by a stranger by a boyfriend amp a gynecoligist you gave me the courage to tell of overcoming of all of this in front of last week you are a gift sis,0
1050288053103689728,“ i don ’ t kyare about women and i don ’ t kyare about cheeldren “ melania says women need hard evidence to prove metoo assaultsi mean look she hooked up with dt she ’ s a special kind of wicked and stupid metoodebate childrenincages trumpcrimefamily,1
1052291833894559744,loved chatting with alyssamilano and taranaburke last week 🙌🏼 for their great work metoomvmt joshsabarra alyssamilano taranaburke metoo⁠ ⁠ tuesday,0
1051963478745862146,hillary clinton ’ s willful misunderstanding of the metoo movement,1
1052207832081129472,domestic violence awareness hasn ’ t caught up with metoo here ’ s why,0
1051640874944393217,metoohit bcci ceo rahul johri asked to skip icc meeting httpstcoqejacnzixl,1
1052254760869515265,metoo sexual assault awareness womens short sleeve tshirt,0
1052188477528236032,metoo on a light note🎭🎭,0
1052046673734762496,my biggest hope for you is that you never have to say metoo alyssa milano shares moving video for her daughter,0
1056109431241564160,opposition will start metoo after congress ditches them rajnath singh,1
1055018558982381568,harshikapoonacha supports arjunsarja read more arjunsarja sruthihariharan prakashraj metoo metooindia,1
1049973389425664000,taxidermy deathshead moth by oddity asylum taxidermy halloween gothic black deathsheadmoth aussie ⁠ ⁠ tattoo art theblockau butterfly moth spider fortnite hardquiz kelilane oufc ispr etalk qanda news metoo⁠ ⁠ amas⁠ ⁠ oufc httpstcowabkiakezg,0
1052014790548148224,iratrivedi missukissu to a harasser is meetoo for opportunist who want to derail actual metoo,0
1052268042753851396,★ salmankhan refuses to work with anirban das whose character has been questioned the owner of one of the leading management company had been chasing salman khan for the past ten years to associate with his company but he has declined the offer…httpstcozgfambuoza metoo httpstcotleglieirx,0
1052237938166255616,the misogynistic video from this ti rapper who is from atlanta is antiwoman and deeply offensive will mayor keishabottoms condemn it and apologize to flotus what about all the feminists in atlanta metoo georgiademocrat staceyabrams,0
1049452586867322880,realjameswoods twitter twittersupport have you been shadow banned shadowbanned metoo,0
1052177384345079809,how men can stay safe during the metoo movement bloggers lbloggers fbloggers bbloggers bloggerstribe bloggerbabesrt blackswhoblog bloggerkind beechat theclqrt gwbchat qualityblogrt melaninbloggers usbloggerrt httpstcosaadvhelyk,0
1055841829327962112,join us tonight for a tweetchat on the aftermath of metoo abdulmshaheed anupamaskapoor ashwinisyed pratikshazm unwomenindia shailichopra vanditamorarka nanditavenky vitalvoices sanjukta namratasadhvani karunanundy rupandemehta safetipindotcom,1
1055730265677594624,woman shares her metoo story says she would have preferred not to talk about this matter but says when it became clear her employer would not help she went to the police the first in her country to do so,1
1052271251576766466,and what a feeling it is to see these names among the top searching cities in metoo,1
1055358836503134208,jackie shroff has a mixed reaction on sajid khan amp nana patekar ’ s metoo allegations deets inside httpstcoezospaszor,1
1050787687425171456,of are you having the right convos in your org to prevent metoo great tips from solverehr my podcast guest this mo 🎧📲 listen to the full min episode via link in my profile,1
1050180802904961024,surprised ultra metoo moralistic jackietrad would share a press conference with billshortenmp after she slammed younglibs for posting support of brettkavanaugh nomination considering shorten faced similar sexual assault allegation auspol qldpol couriermail,0
1054410100662812674,meetooindia mee too meetoo india metoo meetoo httpstcoptbtxhrioi,1
1056255737041690624,metoo sanjay puran singh chauhan has been accused of sexual misconduct by model reyna vashishtha,1
1052261678866472966,“ conservative women don ’ t feel victimized ” how the kavanaugh nomination underscored the right ’ s complex inability to cope with the metoo reckoning httpstcoysthyhftun,0
1051863704072007681,hey guess what maryjorapini my dad made me a metoo statistic by gd raping me so your segment is disgusting af to survivors but hey let ’ s check out your advice shall we here ’ s amp pretty good advice actually it just has eff all to do with stopping sexual assault,1
1050498919321485313,votetrumppics jamieleecurtis metoo just bought this beauty today,0
1052197854842892288,alyssamilano it ’ s also bullshit amp has been used forever as a way of keeping women silent we have carried the shame for too long amp men must step up amp bear responsibility for their behavior amp the culture they helped perpetuate timesup metoo but never again today ’ s mood bring it httpstcoqfkkthzbbf,0
1054445092688330753,an open letter to tavleen singh stop using your privilege to discredit the metoo movement,1
1048915979328217088,millions and millions of people who counted on this support system were left devastated when they shut the site down we exchanged our phone numbers and email addresses with hundreds and hundreds of people to continue supporting one another metoo,0
1052168631692472320,college student allegedly raped hours after attending a metoo rally,0
1054443060317315072,happy that the metoo campaign started in india maneka gandhi – ani news – metoo movement,1
1056154289301680128,no one has guts to misbehave with my familys women saifalikhan on metoo talking about metoo movement actor saif ali khan feels no one has the guts to mess with his family members it is a very unequal society i dont think anyone will misbehave with my people,1
1052188431474802692,bergerpaintsind hello berger paint hope you heard the news about mollywood actor alenciyar from kerala who is a prime accused in metoo metooindia he is acting in your advertisement in malayalam hope you are not supporting this predatorso please take away your add as soon as possible,1
1052100677575606273,college student allegedly raped hours after attending a metoo rally,0
1056805966337867776,ammused with all the muck thrown at people after decades seems to be a good metoo startup idea promote accusers on sm to gain cheap publicity amp some some quick bucks timesnow indianexpress zeenews congressdahan vandanajayrajan,1
1051960660538445824,thefive weird did bill clinton abuse his power as attorney general when he raped atensnut juanita broaddrick spots dont change predators never do metoo greggutfeldshow httpstcovmnrfwmasv,0
1052213037913006082,cswgsrice presents graphic witness making sense of the metoo movement a graywawro lecture by taintedwitness distinguished visiting professor at wellesley oct lecture fondrenlibrary kyle morrow room free w registration httpstcogpcsxdzcsa,0
1054992977041481728,we were following due process amp didnt put these out until now but ur trolls have mounted so much pressure amp cornered me to put these out in public have more where this has come from ravikiranmusic calling u out for blatantly abusing power amp harassing women timesup metoo httpstcoubvvucabne,1
1052275413798592512,don ’ t be afraid to speak out no matter how long it takes metoo,0
1051627074492882944,sometimes we unintentionally hurt others by failing to have consideration for their feelings wishes or rights it ’ s important to acknowledge that although it wasn ’ t your intention we are sorry for the pain our actions caused sexualviolenceawarenessmonth respect metoo httpstcoshvxjtggnz,0
1049973272354275328,taxidermy deathshead moth by oddity asylum taxidermy halloween gothic black deathsheadmoth aussie ⁠ ⁠ tattoo art theblockau butterfly moth spider fortnite hardquiz kelilane oufc ispr etalk qanda news metoo⁠ ⁠ amas⁠ ⁠ oufc,0
1056248416685019136,metoo bcci acting secretary amitabh choudhury questions coas investigation in johri case indiatides,1
1052077059298738176,the strange redheaded woman haunted his dreams called him to preach berated him and seduced him and she had a secret too dark to tell bookworm readtherainbow readinglist read novel karlyletomms reading awardwinningauthor metoo read,0
1052012502383513601,forget the metoo bs as tuckercarlson put it its now the mesioux movement😂😂😂😂😂,0
1052040264678866945,college student allegedly raped hours after attending a metoo rally,0
1054562816869289984,anjanaomkashyap rubikaliyaquat sardanarohit aajtak abpnewstv where r ppl who advocate metoo,1
1052133428588670976,pastor jerome god takes on power to give it away metoo churchtoo,0
1052273303660974080,metoo is celebrating its anniversary but has the movement changed anything,0
1049459731733991424,rich for queensland labor treasurer jackietrad to use a photo of brettkavanaugh to say liberalaus and thenationals have a problem with women when billshortenmp like kavanaugh was accused of sexual assault auspol qldpol metoo couriermail jccampbell tomwconnell,0
1054572891918856192,metoo is not about the victims it is about the perpetrators predators whose time is up they must answer to the charges levelled against them writes kasthurishankar in her column the word viewdont miss todays edition,1
1052022542330822656,we marched for women we marched for science we marched for our lives we marched for children now we march to the polls midtermelections to restore democracy nov voteblue voteearly govote voteoutgop flipthehouse flipthesenate flipitblue 🌊 metoo trumptreason,0
1052046979726004224,if u keep ur feet in concrete by denouncing fact polite debateamp science u will condone stagnation amppromote backward hateampviolence instead of united mutually beneficial progress reason voteblue aarp blm veterans millennials metoo marchforourlives daca,0
1051990511135780864,comedy legend arseniohall discusses billcosby metoo and gives an exclusive update on the comingtoamerica sequel listen httpstcocbiyvxdjio,0
1051903203745427456,metoo changed the workplace sexual harassment landscape has your company adapted civility civiltreatment,0
1052219055690661888,repost meme drakememe highschooldxd asiaargento metoo httpstcorrhsxwawnx,0
1056132810543644674,metoo calls out small fries leaving filmworlds big guns untouched by subhashkjha httpstcotwvjskguli,1
1052287353597960194,hillary clinton says her husband ’ s accusers don ’ t fit in metoo narrative so umhillaryclinton what kind of narrative are you talking about doesnt fit the narrative huh we the people beg to differ on that outrageous statementplenty of narrative here httpstcotmzvblegxt httpstcowqvdngkfbz,0
1050181727061192704,better late than never we finally review crazy rich asians and talk the good place bojack horseman the captain marvel trailer and the recent returns of certain metoo perpetrators httpstcosmqzqedugo,0
1052099094154436608,rachmuth j streets metoo problem,0
1054738567002537989,metoo actually they should have come forward for this movement against lustful nehru this is someones most sort after amp noble man if this is noble then what is lust,1
1056123787878522880,it is not my intention to create a new metoo movement but years ago i was a canadian police narcotics officer sportstoday,1
1049444545941762048,joeabcnews abcnews what happened to the metoo movement in australia how are historical sexual assault allegation against brettkavanaugh and more significant than similar allegations against billshortenmp auspol abcnews kavanaughconfirmation billshorten,0
1052092655855796224,the original metoo movement 😂😂😂,0
1048763205722329088,feminism feminists metoo timesup auspol uspolitics kavanaughconfirmed mgtow feminist sexualassault what do you think is this a true story yes or no fell free yo give your thoughts on why,0
1049626371268403200,well done anncoulter welcome to australia before you get here land down under where our local metoo and emilyslist feminists slam brettkavanaugh over a sexual assault allegation yet ignore a similar allegation against the left wing alternative auspol pm billshortenmp httpstcodfudbrwqjj,0
1052288704360763392,esquire is releasing an expose on bryan singer anopensecret esquire bryansinger metoo xmen httpstcoeeyhicwwwy,0
1050204937278259200,bdimyon transgendertrd mojgovuk bbcrealitycheck would love to respond but your recent tweets are quite incomprehensible you bounce from crime to metoo with a pit stop at cancer 🤦‍♀️ httpstcogruzyrrots,0
1051385677730832384,is this the attitude of political parties in tamil nadu why are they not making a statement on the disgusting metoo issue are they suppressing the victims am sure the union govt will bring appropriate measures to safeguard workplace harrassment,0
1052103676217573376,brittanymurphy harveyweinstein metoo rip ibelievesurvivors did weinstein ruin brittany murphy did she refuse his advances was her last studio film he produced it i miss her,0
1051898547983900672,washingtonpost we have a metoo movement in south africa too women and children are being gang raped and slaughtered httpstcoftqnbizomg,0
1052137384484229121,metoo ’ s most potent enemy higher awards for harassment victims in the workplace,0
1051968225615835136,new post a year ago alyssa milano started a conversation about metoo these women replied has been published on breaking news httpstcoffvsdfgysc,0
1052283119766827008,feel like some female vigilante justice huntress series sale all books thriller metoo resist,0
1052219641261580289,perspective metoo has a long way to go,0
1052192037100015616,attorney sara blevins will discuss how metoo has changed the legal landscape for employers on october visit for event details,0
1052035521399218176,bacontexas stormy daniels just called and asked me to remind everyone to please please please donate to her fundraising page every dollar makes a difference metoo webelievesurvivors standwithstormy,0
1050486367619338241,yes sunny amen metoo melaniatrump theview sunny take that abby,1
1052109196429287424,bcci ceo rahul johri goes on leave to prepare explanation for metoo allegation,0
1052204432761466880,respect for others starts in the home early this badass panel of warrior women are doing amazing things for women and humans in general metoo timesup wict susanchira fernanda merodio alyssamilano michelletvone amp maria brennan of wicthq,0
1051927182472306689,whoopi goldberg slams metoo actresses who used sex with ‘ uglyass ’ men to win oscars,0
1048638014350680065,miranda fricker speaking on ‘ knowing notknowing and halfknowing ’ at metoo and epistemic justice ⁦⁦cuny⁩,0
1052214089458610176,very powerful piece about metoo and how it is helping to evolve the workplace with some great practical advice an invitation to be quiet no longer the asco post,0
1052150134421839872,pledgedemocracy indivisibleteam hillaryclinton the metoo movement is biting some dems on the butt it ’ s about time it caught up to keith ellison httpstcojozhvzbfff,0
1052112013105627136,monica lewinski is not a victim of sexual assault amp doesn ’ t claim to be she ’ s not a metoo survivor she is a woman whose opportunities have been limited not by her choices but by judgement of them through the harsh lens of gender amp sexuality that ’ s what feminism fights httpstcokmwgnqbeaw,0
1051897761136701440,metoo bad men always win even though ravan was talented he made a mistake by abducting sita maa this priya 👇 loves ravan over ram❤️,0
1051944095583756288,postmetoo “ we know that the powerful may delude themselves about the willingness of those they manipulate and that their less powerful victims may go along with things they do not want because they are overwhelmed by the status of their abuser ” httpstcowpoqgoptfe,0
1051947500054016000,one year ago metoo went viral but taranaburke started the movement much earlier and it will continue well beyond this moment metoooneyearlater,0
1054676643988430848,bignews actress harshikapoonacha extends her support to arjunsarja over metoo allegations says actresses are taking advantage of the movement she also said that these actresses are insulting the film industry that has given them everything,1
1050465097234112512,condemned for alleging abuse by jd salinger in says little has changed despite metoo movement httpstcojriykdatiy,1
1054342670125031424,metoo i am against sexual harassment at work workplace work officeculture,1
1051986424617041920,meredith ’ s metoo moment on theoffice,0
1048666090643980288,wtaf america i have nothing kavanaugh kavanope metoo,0
1052227893273583616,actress and activist alyssa milano has released a powerful amp emotional video message that she recorded for her daughter to explain why she went forward with her own sexual assault story metoo,0
1052266209121423360,the nobel committee ’ s metoo moment httpstcorkdkcawjyg,0
1051274608207249408,takenbythewinds hollywood loves the democrat party i wonder why harveyweinstein billclinton prayforamerica prayfortrump maga scandal joke dnc metoo⁠ ⁠,1
1050187932601061377,why they put quincy in with those addle pated felonious booty seekers man or woman should never have to say metoo empire empirefox,0
1056127083380903937,session on entertainment industry metoo campaign moderated by mohsin sayeed panelists samina ahmed sabhamid angelina malik and tubbu khan womenseriously,1
1052231227514740737,on todays unpopular opinion adamtodbrown and special guests nesgritton and joedosch talk about the possibility that the kavanaugh hearings were just a republican effort to discredit the metoo movement itunes httpstcozqemtmnuqx google httpstcotjkwpynuoy,0
1051309792961224705,woman woman part of metoo,1
1052092143995670529,the strange redheaded woman haunted his dreams called him to preach berated him and seduced him and she had a secret too dark to tell novel karlyletomms reading author metoo sexualaddiction bookworm readtherainbow readinglist reading read,0
1051937344490799105,working on a project for edtech cohort this a response to a google form sent to students 😂wise adulting metoo mouthofbabes ctlearns,0
1051957160182259712,unsung hero rose schneiderman was a forerunner of the metoo movement history mondaymotivation,0
1052114077793824768,she is trying to use the metoo movement to settle old scores says filmmaker susiganesan after leena manimekalai levels sexual assault allegations against him read the full story here,0
1051200996066713601,recoil the best feeling in the world womenrule womenempowerment spikestactical metoo coletac vortexoptics btindllc,1
1051876639028604929,aline brosh mckenna talks changes still needed on metoo anniversary ‘ it is still white men ’ in charge,0
1052005980899180545,trump lawyer declares “ total victory ” stormy daniels files appeal over lawsuit metoo breakingnews,0
1051890973301764096,new cartoon hillaryclinton thedemocrats metoo,0
1050915836272226305,metoo some thoughts about sexual boundaries a long over due discussion of sex sexuality and sexual boundaries thank you metoo sex boundaries blog blogpost essay lgbtq recovery mentalhealth oktosay timesup karlyletomms,1
1052263827549630465,findtruthq foxnews oh so senwarren maybe you misunderrstood more possible that papa rape a cherokee indian in the round up metoo believeallwomen warren heritage take whats not yours apologize amp return all grant foundation money to the cherokeenation,0
1055018944099221505,metoo sexual predators are all around us says aslijacqueline httpstcoooetcxsjpq,1
1054961074779422720,femori you dream we enable app store ios httpstconcuypniqyv play store android womenempowerment metoo bestdiwaligift wednesdaywisdom bjpkilledmanoj valmikijayanti femori alok verma cbivscbi seoul peace prize nageshwar rao,1
1052054702823800832,‘ all about nina ’ — standup comedy in the days of metoo,0
1056185042936856576,karan johar so painful these days every actors and actresses alleged for metoo but no body blaming me and thinking why people dont like all the people except me,1
1052223347545841664,wth democrat senator heidi heitkamp publishes names of sexual assault survivors in campaign ad without their permission what is wrong with you people metoo,0
1054451090178097152,alisha chinai confirms metoo allegations against anu malik malik removed as indian idol judge metooindia full storygthttpstcotjxbkeyxxk,1
1050472340730077184,marching with purpose how metoo marchforourlives lapride pride and familiesbelongtogether have become a movement of progress equality and hope,1
1052123828577546240,states are taking action on metoo why isn ’ t congress,0
1050384913554235395,bollywood ’ s expanding metoo movement hits productions,1
1049982144603463680,metoo comes to bollywood,0
1051946352144334850,metoo was never a push to lock up men httpstcopdctyvjsne,0
1056178079679295488,rajnath singhs metoo dig at congress appalls activists ndtvnewsbeeps httpstcoqjnkipaszn,1
1051306423190212613,the strange redheaded woman haunted his dreams called him to preach berated him and seduced him and she had a secret too dark to tell bookworm readtherainbow readinglist read novel karlyletomms reading awardwinningauthor metoo read,1
1052273504052240384,a year ago this month a tweet helped spark the metoo movement how has it affected your life and community httpstcoxaxlfcxzvu,0
1052193817401548803,join cosbymoni amp cosponsoring orgs this friday thompson center to emphatically demand that we hear the metoo coming from inside prison walls amp response w a demand for abolition event freethemall survivedandpunished,0
1051076399535181824,i have an idea why don ’ t all these young healthy people demonstrating like antifa and metoo get on some busses and go to florida to help clean up they want to help the poor and women prove it let soros pay for it maga httpstcoutswbzrmqi,1
1051960032680701953,michaelavenatti trump tells women “ i don ’ t care ” on to all the moderate republican mommy ’ s out there this is your guy i hope nothing ever happens to you your daughter your mother or your friend bc your government no longer cares vote midterms metoo,0
1049503570582618112,nough said whyididntreport christineblaseyfordwestandwithyou riseup resist nomeansno metoo believesurvivors httpstcolmtxzbelnb,0
1050258731450023936,literature prize in age of metoo new award in absence of scandalhit nobel five months ago the swedish academy a prestigious cultural institution patronized by the king of sweden announced that this years nobel prize in literature would be…,1
1052291107726315520,via metoo mania accused,0
1051210506994966529,perry there was no political lynching but aurora rep jovanmelton has been wronged — and he should resign copolitics coleg metoo cogov,1
1052163082255048704,a metoo movement for mental health httpstcodtzocyhwvu,0
1051227851284873217,metoo changed the industry but there ’ s a lot that remains to be done,0
1052233367259832323,nicole kidman opens up about metoo and her relationship with exhusband tom cruise i married for love but being married to an extremely powerful man kept me from being sexually harassed,0
1052062729685602306,the only lucky guy in this generation of metoo,0
1051928080275726337,metoo merch on this night christmas metoo timesup news,0
1048746747420274689,ces drilon failed the metoo “ movement ” httpstcodfcmstkmpa,0
1051897900551168001,just saw a revised version of sellbuydate loved it in new york and loved it here as well it is a must see lalgbtcenter renbergtheatre sarah jones yesimsarahjones is a combination lilytomlin annadeaveresmith amp whoppigoldberg mustsee metoo,0
1051919471454183427,yesterday dmregisters jasonclayworth ​published an article ​that outlined the toxic workplace environment at our state capitol iowacasa is appalled and disheartened read our full statement here wevote believesurvivors metoo,0
1052215102592577536,starkauthor amp radiantfibers discuss the brilliance of mister rogers via youtube httpstcovhcbjaqnov tedx keynote speakers panelist conferences summits retreats stopbullying bullying antibullying parenting education standupnow metoo makeanoise events,0
1051735650481758208,nsw police officer mitchell willey could be kicked out of the force after admitting he groped a woman at defqon dance festival in penrith last year his lawyer argued against a criminal conviction saying the constable shouldnt be punished because of the metoo movement,0
1051961783286677504,believe women amp believe victims i ’ m selling stickers of each or of each of the proceeds will be donated to rainn you can paypal me at and include your address in the notes so i can mail them 🍑🍑🍑 believewomen metoo,0
1055011435187716097,amalaams against susiganeshan opens up on about the uncomfortable times during shoot metoo,1
1050811961011838977,no bucky people are pissed off at for attacking the credibility of an assault survivor after the attacker thomas ravenel was arrested as the result of a four month police investigation the only people questioning the metoo movement are men and rape enablers,0
1054663295464951808,the judiciary ’ s metoo moment httpstcodmvwnagusc,1
1052237153789390853,new post domestic violence awareness hasnt caught up with metoo new york times has been published on might get fit,0
1050369671696928773,trump mocks rules of metoo during rally via ⁦politico⁩ because of course we should let boys be boys at the expense of girls if this doesn ’ t make you sick i give up,1
1051944297543737346,groups fighting sexual violence awarded metoo funding httpstcosgqwqflvrm,0
1052242954671284224,dont be pulling a susan collins because we wont forget latinaslead browngirlmagic luzcollective flbl latinas susancollins metoo timesup senatorcollins malinche,0
1056228517627609088,pakistans apex court has reimposed a ban on all indian tv channels overturning an earlier order from a lower court a metoo is needed there,1
1051986120353959936,someone has to be first from girl in disguise by greer macallister opendoors unlock firstfemaledetective metoo mondaymemories bookclub makentake ylpl historicalfiction mystery publiclibrary library,0
1050167699731431424,australian note to bowenchris don ’ t count your 🐥 before they 🐣 like brettkavanaugh your leader billshortenmp also has a similar metoo controversy that hasn ’ t gone away auspol emilyslist squigglyrick httpstcowjcunvmzsb,0
1051868547045978112,megankelly megankellytoday killary clinton will protect her rapist husband rape enabler who abuses these women who bill raped in deep denial she is going on tour for metoo when she is against me too movement liars crooks money laudnering haitian child organ harvesting httpstcontmmazfudu,1
1052164009544351744,👩🏽‍💻 on a mission to build an empire and leave a legacy 💫 ✅😇🙏🏽🌸👠💋💵👛🗝 smartgirlceo pyeagency ladyboss girlboss bosslady blackgirlsrock girlpower womensupportingwomen sisterhood blackgirlmagic essence oprah metoo tuesdaythoughts,0
1056042408519974915,why are the men so quiet what metoo revelations expose is a long standing sexual crisis in indian culture,1
1051908838104788992,whoopi goldberg talked metoo and neil patrick harris talked about the time she offered to sex him up httpstconfyrvwzpjt,0
1055096215681945600,metoo govt sets up gom to look into sexual harassment at work place httpstcoaakozjadvp,1
1056406162617307139,metoo is not just a moment its a revolution that should have been come years ago in india because now timesup,1
1051433945596928000,a viewer sent me this painting of drchristineblaseyford the painter ’ s name is milly she is she believes dr ford she is now growing up in a country with accused scotus justices an accused potus who mocked dr ford she doesn ’ t think metoo is over vote,1
1050781911088590848,“ one year into the metoo movement there ’ s an underreported barrier to supporting victims many workers are still not legally protected from sexual harassment ” httpstcosbwkfbrsvv,1
1048656738985988096,uspoli realdonaldtrump scotus vs metoo by john darkow auspol senatorcollins jeffflake joemanchinwv,0
1055777700412047361,calling metoo elitist is shortsighted and undermines sexual abuse,1
1056211153989353472,metoo vinta ’ s lawyers bold statement,1
1056500374696312833,ronnie screwvala metoo movement will make system more transparent,1
1051492073575198721,metoo movement inspires flood of old misconduct reports to colleges,1
1052248506000429056,yeah elizabethforma is legit metoo,0
