id,text,Generalized_Hate
1048693288809590784,dailytelegraph ’ s pwafork says the allegations against brett kavanaugh damaged the metoo movement ‘ a lot of american ’ s saw this as a lastditch effort to derail a justice who was going to sail through the confirmation process ’ more speersonsunday httpstcoofbaevbybl,0
1051816186516664320,richcraigfletch terrolllewis danielslaney i bet he saw her coming and put his bag there on purpose obviously her parents never taught her why its bad to cry wolf people like her are entirely to blame for why the system is so sceptical towards women who come forward worldmentahealthday believeallwomen metoo,0
1052061176396431360,times have changed theres a new sheriff in town name metoo,0
1051674207749210113,falsefly what a grot im familiar with this type of individual meet chloeingramm chloe ingram metoo falseallegations,0
1052135641570533376,metoo chetan bhagat ridicules ira trivedi ’ s allegations says it was she who wanted to kiss him,0
1051312854496894982,damn right 😜 metoo wetoo,1
1052276505328439297,chicago review has a metoo poetry collective we want to thank the writers who have made such personal contributionswe want to offer our solidarity to them and to any of you wrote editors emily critchley and elizabethjane burnett poetry chireview,0
1051964747262902272,college student allegedly raped hours after attending a metoo rally httpstcoykqrovgpsv,0
1054644234706333696,another metoo and another day,1
1054633892945190912,more power to women thank you deccanchronicle for writing about yenpennae maalavikasundar indiametoo metoomvmt musiccomposer kumarnarayanan saintunes metoo metooindia metoomovement song httpstcokchgvzmvma,1
1051869349219192833,mipcom elizabeth vargas talks double standards on metoo anniversary,0
1052263136160612353,after rescheduling an earlier event the founder of the metoo movement is finally set to speak at ku next week httpstcotnmztmqonr,0
1052283119766827008,feel like some female vigilante justice huntress series sale all books thriller metoo resist,0
1052092655855796224,the original metoo movement 😂😂😂,0
1052024246262747137,cnnpolitics chucktodd thelastword kamalaharris sengillibrand maziehirono senblumenthal walkaway metoo so much for let all womens voices be heardmake man prove he is innocent hillary claims bill never abused his power httpstcomyszfakiqq,0
1052144362304475136,vpr wanted to protect my longdead grandfather rather than allow me to say my grandfather abused me speakmytruth metoo censorship,0
1051863480326909952,if you missed it check out cheryl mcwhorter and the no more organization on the gwade radio show tune in now at gwade deacondirty gwaderadioshow wadeworksstudios atlanta atl city nomore domesticabuse domesticviolence abuse metoo calendar,0
1048606748746166273,other ways to heal when you can ’ t tell your metoo story,0
1054724869961723904,tatas still not saying tata to alleged serial sexual offender suhelseth while mahindra adanigroup have taken a firm zero tolerance standfriendship with patriarch ratantata comes to seth ’ s rescueboycottsexualpredators metoo metoocontroversy,1
1051943508121141250,the metoo movement has galvanized the nation – and the world – and inspired survivors everywhere to tell their story and hold abusers accountable we cant leave any woman behind take the pledge httpstcooimulfvufy thisisnotworking herstory,0
1049816192444186624,im sure patriots in tennessee love😅that she hangsout wperv harvey taylorswiftclassic🥀democrat endorse a d man accused of sexual misconduct instead of a strong r woman whod be female tn senator bc dems are so serious😏about metoo ❤️🇺🇸,0
1052233367259832323,nicole kidman opens up about metoo and her relationship with exhusband tom cruise i married for love but being married to an extremely powerful man kept me from being sexually harassed,0
1054688523163291649,metoo tanushreedutta hits back at rakhisawants drug charge slaps rs cr defamation suit,1
1051356183402033152,himtoo how an attempt to criticize metoo went delightfully wrong httpstcoyqjislyfms,0
1052237026957844480,“ tiny ” trump attacks “ total con ” stormy daniels potus “ disgusting misogynist ” says michael avenatti in reply over suit httpstcopptdbznoso metoo breakingnews,0
1052112013105627136,monica lewinski is not a victim of sexual assault amp doesn ’ t claim to be she ’ s not a metoo survivor she is a woman whose opportunities have been limited not by her choices but by judgement of them through the harsh lens of gender amp sexuality that ’ s what feminism fights httpstcokmwgnqbeaw,0
1052148204320555008,since women are still being torn apart for sharing their stories it ’ s necessary for them to keep sharing them until they are taken more serious metoo,0
1052213037913006082,cswgsrice presents graphic witness making sense of the metoo movement a graywawro lecture by taintedwitness distinguished visiting professor at wellesley oct lecture fondrenlibrary kyle morrow room free w registration httpstcogpcsxdzcsa,0
1054768098933440512,with indias metoo and sabarimalaforall the needle does seem to be moving in the right direction sending love and strength to all fighting the fight httpstcorqpvwmlyaa,1
1051297087722205184,had a bit of break went to the beautiful port macquarie and nearby areas absolutely stunning as usual beautiful metoo australia auspol,0
1052172367810707456,this powerful and famous televangelist seduced women used women and tried to hide it from everyone but his darkest secret was one he hid even from himself story bookworm metoo novel author reading nashville arkansas readtherainbow reading httpstcoavcniqmykk,0
1052167647016747008,our boss merrittvox joins the conversation on the metoo movement and midterm elections with aslforcongress and monicabraine at kunmnews letstalknm,0
1052215102592577536,starkauthor amp radiantfibers discuss the brilliance of mister rogers via youtube httpstcovhcbjaqnov tedx keynote speakers panelist conferences summits retreats stopbullying bullying antibullying parenting education standupnow metoo makeanoise events,0
1051907000303403008,subtleties of sexual harassment kaufmanlaw sexualharassment metoo httpstcoujhhfpqsdx,0
1052103676217573376,brittanymurphy harveyweinstein metoo rip ibelievesurvivors did weinstein ruin brittany murphy did she refuse his advances was her last studio film he produced it i miss her,0
1052263181303705600,the birth of venus an update for the metoo era art artist photoshop photocollage ericboos httpstcocypdhheoum,0
1050204937278259200,bdimyon transgendertrd mojgovuk bbcrealitycheck would love to respond but your recent tweets are quite incomprehensible you bounce from crime to metoo with a pit stop at cancer 🤦‍♀️ httpstcogruzyrrots,0
1051735650481758208,nsw police officer mitchell willey could be kicked out of the force after admitting he groped a woman at defqon dance festival in penrith last year his lawyer argued against a criminal conviction saying the constable shouldnt be punished because of the metoo movement,0
1048931102356901888,the experience project metoo the experience project is an online community where people can share personal stories and experiences and connect with others,0
1051963610728157185,how can you break your own silence to both gather and give support be angry and have compassionlisten to this episode as we shed more light on that metoo selfcare courage womensrights feminism sexuality podcast,0
1051559422269349888,when nobody is spared from metoo its only mrbean who is spared from it🤣😉,1
1052219055690661888,repost meme drakememe highschooldxd asiaargento metoo httpstcorrhsxwawnx,0
1051939199195045890,what a shock hey old bill is in the clear amp every single imwithher metoo moron will swallow this huge pile of shit without a single gag 🤷🏼‍♂️ hypocrites httpstcoxkymfqnanj,0
1049973389425664000,taxidermy deathshead moth by oddity asylum taxidermy halloween gothic black deathsheadmoth aussie ⁠ ⁠ tattoo art theblockau butterfly moth spider fortnite hardquiz kelilane oufc ispr etalk qanda news metoo⁠ ⁠ amas⁠ ⁠ oufc httpstcowabkiakezg,0
1055438593844539392,unfortunate that my colleagues are fighting jackie shroff on metoo india bollywood cinemashowbiz entertainment httpstcojhwtlmnjuh,1
1051712932143198208,nsw police officer mitchell willey could be kicked out of the force after admitting he groped a woman at defqon dance festival in penrith last year his lawyer argued against a criminal conviction saying the constable shouldnt be punished because of the metoo movement,0
1051961083576102912,just thinking about how my grampa became a literary legend in his letters to the editor imagine if he had fb and here i am grumpyoldmen politicstoday elizabethwarren pocahontas metoo behindtime luccislist awellbehavedwoman globalcitizen howtobelessstupidaboutrace,1
1051970600875495424,we almost sold out so we ’ re making available ten more regular tickets join the movement october and justicegeneration churchtoo metoo,0
1056441265074593793,i checked out the page literally every post was about metoo whoever the admin is theyre really triggered makes you wonder why,1
1051670709116829698,when djt is on bragging about his accomplishents remember there are still children even toddlers separated frm their parents in detention centers the gop tax bill benefits only the period he mocked dr ford amp metoo preexisting conditions bye bye,1
1051898547983900672,washingtonpost we have a metoo movement in south africa too women and children are being gang raped and slaughtered httpstcoftqnbizomg,0
1052183735456751616,fairygodboss reminding us of sobering stats according to wef at only action will accelerate this women metoo,0
1055027591302639616,metoo workshop at mumbaipressclub in association with nwmi legal experts activists sharing knowledge,1
1050455250325237760,black nevadans walkaway from jacky rosen amp the metoo movements racist democrat socialist hate of black men denying due process amp supporting illegal immigration segregation,1
1051961783286677504,believe women amp believe victims i ’ m selling stickers of each or of each of the proceeds will be donated to rainn you can paypal me at and include your address in the notes so i can mail them 🍑🍑🍑 believewomen metoo,0
1051976441519321089,heres the picture trump should have hanging in his office mondaythoughts mondaymood metoo ibelievesurvivors,0
1052183746344960000,mother nature ’ s metoo,0
1050948337589862400,wwe joshkolm sorry but the metoo doesnt apply in the middle east its like a force field you can protest all you want they just dont give a 💩 and thats because of their beliefs so you cant win that battle dontwasteyourtime,1
1049992712122859520,powerful men have changed their behaviour at work since metoo,0
1052244359612157957,metoo i have another assaulter he pushes me down and touches my undercarriage timesup,0
1055367356791377920,ambareesh solves sruthihariharan amp arjunsarja metoocontroversy httpstcooogidwtkvg arjunsarja sruthihariharan ambaressh metoo metooindia metoocontroversy sandalwood,1
1052227893273583616,actress and activist alyssa milano has released a powerful amp emotional video message that she recorded for her daughter to explain why she went forward with her own sexual assault story metoo,0
1052102861901819904,alyssamilano did harveyweinstein have anything todo with brittanymurphys downfall after sin city she didn ’ t play in any studio movies harvey was a producer metoo,0
1051974638731972609,after watching the debate between jimrenacci and sherrodbrown it is clear that it ’ s time for brown to step down under the terms of the metoo movement there is no other choice wlwt johnlondonwlwt mitchellvii billcunninghams kimguilfoyle,0
1051661466837901313,days million tweets one powerful movement today marks one year since metoo went viral sexual amp genderbased violence is a human rights violation and were committed to ending it ✊,0
1051947500054016000,one year ago metoo went viral but taranaburke started the movement much earlier and it will continue well beyond this moment metoooneyearlater,0
1052036563536728064,facing persistent demands to begin sexual relationship maharashtra man commits suicide httpstcokctawqnohx metoo,0
1052248506000429056,yeah elizabethforma is legit metoo,0
1051965039278780417,long before the metoo moment black women weighed different survival strategies—sometimes turning inward and choosing silence sometimes turning outward and choosing protest—in the aftermath of sexual assault httpstcowppodurtic,0
1052273504052240384,a year ago this month a tweet helped spark the metoo movement how has it affected your life and community httpstcoxaxlfcxzvu,0
1051278414051651584,colleges across the united states have seen an increase in reports of past sexual misconduct inspired by metoo,1
1052240083267407872,metoo believesurvivors believewomen believeallwomen but they believe this guy more than his exgirlfriend who has evidence pictures and recorded calls hospital care records everything ford didnt have my advice ladies dont get involved with a dem there very angry people,0
1049598400927170560,judging myself for my choices thetanmay metoo metooindia utsavchakraborty httpstcovrpkissxbu,1
1048913572695293957,me too the experience project was a free social networking website consisting of various online communities it operated from until when it announced it would suspend new registrations indefinitely metoo,0
1052046673734762496,my biggest hope for you is that you never have to say metoo alyssa milano shares moving video for her daughter,0
1054734475962212352,has bcci hushed up a sexual harassment allegation against rahul johri metoo,1
1051874454220001280,amid the metoo movement clinton ’ s comments about monica lewinsky are especially tonedeaf,0
1052270079684108288,remember not all trauma can be seen ptsd trauma sasc colga speakup speakout metoo believesurvivors youarenotalone,0
1052280881161728000,daysofmindy day that time i played a zombie in a fallout boy video that was told to dance on the guy who agreed to it but later said he hadn ’ t and pulled a metoo moment on tv so i got thousands of hate mail comments from his insane emo fans liar,0
1050180802904961024,surprised ultra metoo moralistic jackietrad would share a press conference with billshortenmp after she slammed younglibs for posting support of brettkavanaugh nomination considering shorten faced similar sexual assault allegation auspol qldpol couriermail,0
1052236732987568134,metoo in construction report sexual harassment in enr survey httpstcotdyznsjxky,0
1051093857692135425,metoo picture describes everything,1
1051908752570376192,tomorrow on the gist we chat with claireswinarski and dawnofmercy about catholic feminism and the metoo movement watch at et and join the conversation httpstcozkfgwxuhqc,0
1051800014337581056,breaking news from my company minegaps we partnered with ftisc to conduct new research on gender dynamics in the workplace check out our press release amp findings here httpstcofyapkbcbhr please share with your network metooatwork metoo,1
1052266209121423360,the nobel committee ’ s metoo moment httpstcorkdkcawjyg,0
1051970552049659904,our votes help put people in office that support our needs dearprofessorford webelievechristine ibelievewomen ibelieveher yesallwomen noshame saam healmetoo churchtoo ihave whywomendontreport timesup metoo notokay ihearyou rapecultureiswhen httpstcogmwidvkfih,0
1052168631692472320,college student allegedly raped hours after attending a metoo rally,0
1052158120775045121,metoo merch transgender dysphoria blues metoo timesup news httpstcobgyjzrncsa,0
1055412403762999297,breaking arjunsarja files rs cr defamation against sruthihariharan read more sruthihariharan arjunsarja metoo metooinindia dhruvsarja,1
1051988115240275968,aclu alyssamilano taranaburke and now for more fake news and fakery of metoo bs,0
1051311257595375616,my life has been threatened several times ive received two letters amp one phone call threatening to end my life i have gone to the police amp fbi i now walk out of my home constantly looking over my shoulder whats it take for someone to take this serious metoo malesuicide httpstcokfepqorouc,1
1052005980899180545,trump lawyer declares “ total victory ” stormy daniels files appeal over lawsuit metoo breakingnews,0
1052276028448669696,good day good vibes blacklivesmatter believeher metoo impeachtrump queer woman,0
1055806904155467776,metoo arjun sarja reacts to sexual harassment allegations by filing rs crore defamation case against sruthi hariharan httpstcoqosvljzset,1
1052044870758662144,i always felt this painting was incomplete i finally figured out what it is going to make others feel metoo,0
1052076676778057728,charlizeafrica on how metoo has changed hollywood it feels like we are finally being heard,0
1052099094154436608,rachmuth j streets metoo problem,0
1052108484261634050,abc theadvocatemag occupywallst moveon mmflint joyvbehar stephenathome iamjohnoliver tyleroakley parkland metoo marchforourlives theadvocatemag occupywallst moveon mmflint stephenathome iamjohnoliver tyleroakley if you hate grannynanaabuela vote gop if you love your grannynanaabuela vote thedemocrats texasdemocrats georgiademocrat,0
1051222305647550464,metoo inspires wave of old misconduct reports to colleges httpstcojrzmxzbgev,1
1049459731733991424,rich for queensland labor treasurer jackietrad to use a photo of brettkavanaugh to say liberalaus and thenationals have a problem with women when billshortenmp like kavanaugh was accused of sexual assault auspol qldpol metoo couriermail jccampbell tomwconnell,0
1054752144471945217,metoo there will be collateral damage but it ’ s necessary says kalkikoechlin,1
1052218673333587969,in my doctoral research i examined the lives of three young girls who had been kicked out of their home schools and sent to alternative education facilities their stories reveal much of what is happening in the metoo movement today amp witnessed in dr fords testimony,0
1050658389007581184,letavnilive letavnilive if the nature could say metoo 😪 indianexpress timesofindia indiatoday bbcworld wsjbusiness chchnews abpnewstv zeenews papermagazine animalplanet pmoindia leodicaprio randeephooda vidyutjammwal vidyabalan drsanjaygupta latikanath httpstcogvgghybwxa,1
1050181727061192704,better late than never we finally review crazy rich asians and talk the good place bojack horseman the captain marvel trailer and the recent returns of certain metoo perpetrators httpstcosmqzqedugo,0
1051819926795608065,wonder what else hillaryclinton thinks it was lust or love if not metoo,0
1051990511135780864,comedy legend arseniohall discusses billcosby metoo and gives an exclusive update on the comingtoamerica sequel listen httpstcocbiyvxdjio,0
1052171511304519680,a new episode of the reality rainbow podcast is now live on applepodcast soundcloud and googlepodcasts join the boys and their wives they talk about the metoo movement and how sexual assault has effected their life httpstcotyagfksqmd,0
1052257409261920258,‘ halloween ’ review a slashermovie reboot for the metoo era httpstcodghpczctao,0
1054631458223128576,metoo karnataka film association to hold a reconciliation meeting between arjun sarja and sruthi hariharan,1
1049549716919222272,this post is red hot on thedonald subreddit right now words fucking disgusting the comments supporting this are vile amp proof of the degenerate minds who are pro trump im not a schumer fan nor a feminist but this is an absolute new low dumptrump trump pousa metoo,0
1052114077793824768,she is trying to use the metoo movement to settle old scores says filmmaker susiganesan after leena manimekalai levels sexual assault allegations against him read the full story here,0
1052291833894559744,loved chatting with alyssamilano and taranaburke last week 🙌🏼 for their great work metoomvmt joshsabarra alyssamilano taranaburke metoo⁠ ⁠ tuesday,0
1055701785262915584,mumbaifilmfest support metoo mumbaitimesmt nidharm pashokmt pravinmulyemt marathirt,1
1056229435844657152,very well said rajnath singhji every regional party has been ditched betrayed and exploited by incindia at some point of time or other its high time all the regional parties shout a metoo against congress,1
1052260416292904961,nicole kidman on why metoo helps both men and women move forward via variety womeninfilm nicolekidman metoo httpstcokffygxduje,0
1052193921877635072,one year ago metoo reignited in honour of this anniversary we are posting the original tweet that launched this proclamation from a moment to a movement we are here to remind all survivors of their inner strength bravery and courage we hear and believe you supportsurvivors,1
1052127834892881920,must read she speaks for all of us please insist on further fbi investigation senfeinstein senkamalaharris pattymurray senwarren sengillibrand maziehirono senatorcollins senatorcantwell senatorhassan senatorbaldwin lisamurkowski clairecmc metoo,0
1052188477528236032,metoo on a light note🎭🎭,0
1051961261607579648,it is not possible to be in favor of justice for some people and not be in favor for justice for all people dr martin luther king jr just think about that how these words still resonates today mentoo kidstoo metoo survivorculture abuseisgenderless abusersaregenderless httpstcockqhbpnzlh,0
1049448219271344129,even tho rosemcgowan is an utter fruitloop i fully agree with her here all these hollywood twats that have jumped on the metoo movement like a maggot onto a rotting corpse are hypocrites of the highest “ we didn ’ t know ” bullfuckingshit,0
1052226137408106497,company employees members of the honduran army hired assassins mercenaries honduras ask hillary about the violations of bertacaceres what exactly did secretary of state hillary clinton do for this fellow woman metoo timesup,0
1049452586867322880,realjameswoods twitter twittersupport have you been shadow banned shadowbanned metoo,0
1052247323668041728,horseface lol the progressives applaud a video by a rapper showing the first lady as a stripper but are upset when trump responds to a bogus suit calling daniels a name i guess the metoo movement only applies to libs realdonaldtrump,0
1052273094818230272,womble bond dickinson team takes part in mccalaw creating pathways to diversity conference theresa sprain moderates “ metoo one year later ” discussion httpstcozrhjuriabx,0
1051963199921090560,hillary clinton ’ s willful misunderstanding of the metoo movement,0
1051241621281492993,hey biffbampop thanks for publishing the article about our latest episode stirred up demons to the article and to the episode whyididntreport metoo brettkavanaugh,1
1051336714655072257,⚡️welcome to rape culture⚡️ cultureofcorruption whataretheyhiding victimshaming istandwithdrford metoo httpstcorglepkpzgh,1
1051931257473523716,are you stillhere amazing boxset now available for a metoo world books read womenontheverge,0
1054950508677472257,hunk junk in your trunk metoo timesup indiametoo calling out my own industry after growing up here since age today i teach aspiring models amp noway i want this sexual harassment for my hopefull talented babies,1
1052169763651235845,the left has gone completely nuts this was not ok kaitmarieox when leftists think they can touch amp threaten rape metoo this should be viral tuckercarlson therebeltv oann prisonplanet viralvideos garyfranchi httpstconuynohebss,0
1055694736801972224,metoo google fires male employees for sexual harassment,1
1051627074492882944,sometimes we unintentionally hurt others by failing to have consideration for their feelings wishes or rights it ’ s important to acknowledge that although it wasn ’ t your intention we are sorry for the pain our actions caused sexualviolenceawarenessmonth respect metoo httpstcoshvxjtggnz,0
1052264394082594816,this week ’ s turnouttuesday falls during the one year anniversary of the moment metoo went viral amp millions of survivors came forward to share their truth today i honor those who did not survive sayhername iremembernicole voteforourlives nomorenicoles metoooneyearlater,0
1049500897951264768,metoo ten most powerful comments on social media,0
1052040264678866945,college student allegedly raped hours after attending a metoo rally,0
1048915979328217088,millions and millions of people who counted on this support system were left devastated when they shut the site down we exchanged our phone numbers and email addresses with hundreds and hundreds of people to continue supporting one another metoo,0
1049583585781411840,jillpol billshortenmp skynewsaust alanjones ljayes whatever but glaring example in hypocrisy why emilyslist type females like jackietrad and janecaro are so willing to listen to the accuser of brettkavanaugh yet ignore the accuser of billshortenmp metoo bias at its worst in the left wing of auspol politics,0
1052273035346993152,anita defrantz is a noted activist specifically to promote civil rights and to eliminate sexual harassment presenting a candid talk about “ race and gender in sports in an age of metoo ” free with submitted rsvp at httpstcohnhdavcise public parking is,0
1052239288262434817,metoo is one year old is the world ready to listen to these stories and trigger a true societal change publicspeaking digital metoo communicate socialmedia storytelling resilience office genderequality,0
1049808211534958592,an uneasy silence had descended over the bar but then some dude cracked a ´blondé joke metoo kavanaugh harveyweinstein,0
1051903393717874688,today on the anniversary of metoo going viral girls inc is proud to announce the launch of a new campaign called girlstoo this national campaign will focus on sexual harassment and assault in the lives of youth particularly girls with actions aimed at changing the norms,0
1051983768418828288,interesting analysis by theeconomist about the change in perception about the metoo movement year on among american voters and how that breaks along partisan lines,0
1051904346005393410,mo state student allegedly raped hours after attending a metoo rally liberty man charged,1
1051969582968315904,liberty man charged with rape on msu campus after victim attended metoo rally httpstconbotzisfpq,0
1052275413798592512,don ’ t be afraid to speak out no matter how long it takes metoo,0
1052109196429287424,bcci ceo rahul johri goes on leave to prepare explanation for metoo allegation,0
1052214089458610176,very powerful piece about metoo and how it is helping to evolve the workplace with some great practical advice an invitation to be quiet no longer the asco post,0
1051973719428669442,metoo mayawati accuses mj akbar of giving political colour to charges httpstcogrqomqmrch,0
1052269734257811456,letter to bs why are bjp leaders still silent on the metoo movement,0
1055742076048965632,arjunsarja said no compromise at kfcc meeting read more arjunsarja kfcc sandalwood metoo metooindia metoocontroversy sruthihariharan,1
1055356287104368640,prakashraaj metoo can be misused and tarnish image of innocent person,1
1051983079747665920,imprisoned bill cosby loses more lawyers latest new team on board metoo breakingnews,0
1052164009544351744,👩🏽‍💻 on a mission to build an empire and leave a legacy 💫 ✅😇🙏🏽🌸👠💋💵👛🗝 smartgirlceo pyeagency ladyboss girlboss bosslady blackgirlsrock girlpower womensupportingwomen sisterhood blackgirlmagic essence oprah metoo tuesdaythoughts,0
1051201936249184256,senator sherrod brown called on to resign by metoo group,1
1052032744899977217,college student allegedly raped hours after attending a metoo rally,0
1052244907572822016,waynedupreeshow fbi needs to investigate the corruption in minnesota politics owned amp controlled fully by dnc soros governorsectystateagmayorpolicechiefcitycounsel dont got franken when they found box of ballots in trunk they were allowed added count wakeup metoo votered,0
1052100677575606273,college student allegedly raped hours after attending a metoo rally,0
1052008783361265665,metoo iftda issues notice to sajid khan over sexual harassment allegations,0
1051227851284873217,metoo changed the industry but there ’ s a lot that remains to be done,0
1052219647758491648,perspective metoo has a long way to go,0
1052208316888141826,domesticviolence awareness hasn ’ t caught up with metoo here ’ s why nyt,0
1052237938166255616,the misogynistic video from this ti rapper who is from atlanta is antiwoman and deeply offensive will mayor keishabottoms condemn it and apologize to flotus what about all the feminists in atlanta metoo georgiademocrat staceyabrams,0
1054729818015784960,actor jaggesh backs arjun sarja questions sruthi hariharan over metoo allegation video link ► jaggesh navarasanayaka arjunsarja sruthihariharan metoo jaggeshbacksarjunsarja questionssruthihariharan metooallegationonarjunsarja,1
1052188938717290497,domestic violence awareness hasn ’ t caught up with metoo here ’ s why,0
